year,StateCode,CountyCode,workers,medianHouseIncome,medianFamilyIncome,medianNonFamIncome,medianWorkerIncome
2011,12,119,-999999999,43996,54321,23810,20114
2011,12,127,215528,38213,49483,23136,25182
2011,13,013,37457,50490,57907,31065,31399
2011,13,015,47294,44034,51058,26081,26831
2011,13,021,69862,33878,47285,21669,24471
2011,13,031,33906,32251,50665,11729,15690
2011,13,045,51403,42858,53876,25625,26809
2011,13,051,132166,42730,50971,31303,25781
2011,13,057,115482,62515,71898,37719,32258
2011,13,059,53821,28843,44251,19904,16187
2011,13,063,133863,37050,41768,26667,22361
2011,13,067,392489,57906,71888,37672,32127
2011,13,073,65750,61718,69062,41250,35346
2011,13,077,63999,54792,63713,36940,34177
2011,13,089,380782,48297,54686,38016,30320
2011,13,095,42036,28424,33258,19514,20083
2011,13,097,70745,49282,51882,36710,32176
2011,13,113,52993,72962,80026,38934,36453
2011,13,115,45007,40963,50294,23246,23032
2011,13,117,86341,82209,93785,21916,32109
2011,13,121,509117,53697,70502,39062,33254
2011,13,127,40278,45726,54862,31088,24985
2011,13,135,429543,56523,62979,36650,30213
2011,13,139,88537,50108,53972,29282,26245
2011,13,151,104539,57258,59103,36333,34910
2011,13,153,74005,51021,61911,30944,30530
2011,13,179,33886,45485,50268,36225,30623
2011,13,185,53817,32898,43343,23088,19453
2011,13,215,93089,37333,46286,27009,23823
2011,13,217,47997,40932,49664,27263,28296
2011,13,223,77568,57764,59686,32396,32116
2011,13,245,95429,38928,44458,25775,25298
2011,13,247,43013,51067,52351,35908,29328
2011,13,285,32320,40368,47117,23488,25292
2011,13,295,32627,38187,49991,16836,25028
2011,13,297,39988,50129,56401,21298,31729
2011,13,313,50080,36928,41287,23347,24033
2011,15,001,87239,46479,54502,24694,26870
2011,15,003,509981,66146,79442,41858,32904
2011,15,007,35069,60751,67633,37160,30541
2011,15,009,85785,60147,72843,36844,31226
2011,16,001,206250,49643,59623,29641,27500
2011,16,005,40367,41097,52600,20055,19626
2011,16,019,51380,47828,55425,26826,21707
2011,16,027,84998,38470,41932,21131,21971
2011,16,055,70675,47782,53649,28681,24386
2011,16,083,36652,42015,49742,28229,24385
2011,17,001,35360,42635,55856,22315,23898
2011,17,019,104442,39591,64910,23542,20465
2011,17,031,2729953,50813,61037,35899,31364
2011,17,037,58981,51327,64993,24216,21171
2011,17,043,518452,74072,88286,41462,36936
2011,17,089,274250,66497,75741,38624,30695
2011,17,091,54710,45669,51731,31740,27639
2011,17,093,61195,80655,90844,53797,43270
2011,17,097,380360,74266,87222,39807,34079
2011,17,099,59839,48935,61088,26905,25611
2011,17,111,170717,70117,80638,41725,36091
2011,17,113,94524,57799,78507,29752,28896
2011,17,115,54158,44415,61240,26833,27563
2011,17,119,135014,50372,62014,27402,29947
2011,17,143,94503,48988,60524,30268,28693
2011,17,161,73974,43597,56910,28735,26058
2011,17,163,133813,50318,60795,27344,29847
2011,17,167,104356,51075,65721,31458,30683
2011,17,179,69109,49237,61413,32293,29915
2011,17,183,35947,40869,51280,25457,27682
2011,17,197,355379,71882,81595,36037,35750
2011,17,199,31539,40439,54031,21648,25555
2011,17,201,149302,43603,52145,26826,26617
2011,18,003,179273,47426,57278,30393,30357
2011,18,005,39700,54197,64314,28319,31163
2011,18,019,59099,52464,64083,27303,30372
2011,18,035,54999,36811,47685,21057,19119
2011,18,039,97431,43317,54585,26843,26494
2011,18,043,39573,50940,65080,27174,31101
2011,18,053,31679,38187,45554,24594,22761
2011,18,057,154202,80999,96843,50621,43593
2011,18,059,36016,57062,68280,39841,34656
2011,18,063,74245,61687,73941,32842,35941
2011,18,067,40338,37589,53532,21195,24468
2011,18,081,74978,62274,72462,32063,34164
2011,18,085,41850,50803,57720,23826,27044
2011,18,089,237697,48533,58482,25824,30700
2011,18,091,52512,48389,65542,24766,30602
2011,18,095,60035,42129,51592,26293,23887
2011,18,097,474362,39631,48785,29199,26470
2011,18,105,72637,38149,57830,20339,16175
2011,18,109,34432,52051,63748,30324,28715
2011,18,127,85682,61432,73766,35242,31832
2011,18,141,135564,43766,53579,28091,25563
2011,18,157,89638,42404,60075,24482,20060
2011,18,163,92319,43630,55972,26290,27560
2011,18,167,53075,39229,56227,22718,20867
2011,18,177,33440,36358,40804,23757,24212
2011,19,013,72106,42438,55398,26835,23408
2011,19,049,-999999999,69831,80888,31479,41058
2011,19,061,53521,53011,67862,30274,28497
2011,19,103,79401,52732,76431,29434,25844
2011,19,113,119527,55449,73192,31482,31761
2011,19,153,242309,55826,71189,34259,31817
2011,19,155,49105,48850,62405,30162,28855
2011,19,163,85571,49549,64994,30187,31181
2011,19,169,50962,45866,72157,25303,19677
2011,19,193,53281,42435,53711,23574,24582
2011,20,015,32923,51843,62494,26753,30164
2011,20,045,68017,47757,63758,28861,20494
2011,20,091,315040,69856,87734,42889,38846
2011,20,103,36644,62453,74518,28728,31565
2011,20,161,40688,45122,64716,24979,23184
2011,20,173,264360,49478,63221,30006,29106
2011,20,177,91013,43900,62373,25168,26647
2011,20,209,78559,37991,43281,25664,23019
2011,21,015,62357,63556,69979,36327,31387
2011,21,029,39791,51436,61404,34278,28678
2011,21,037,49830,53968,64482,26382,30820
2011,21,047,33833,35573,46094,20864,24874
2011,21,059,46399,44622,58337,24344,27020
2011,21,067,167180,47207,67119,30563,26020
2011,21,093,53785,47448,53626,27742,24892
2011,21,111,389224,45383,60063,28887,27965
2011,21,117,83324,49367,62427,31984,31691
2011,21,145,32173,45220,54239,28472,25154
2011,21,151,41120,38596,52080,17217,19033
2011,21,195,23032,33307,42056,17653,26786
2011,21,227,63200,38244,55739,20964,20765
2011,22,005,56553,64530,77086,32321,35852
2011,22,015,61406,50604,67532,28290,30925
2011,22,017,124259,40460,50910,26231,26656
2011,22,019,91973,40253,52868,22623,26106
2011,22,033,238079,46356,61183,26846,26204
2011,22,045,34383,42488,53694,23065,25124
2011,22,051,228156,43332,56963,27399,28698
2011,22,055,120767,45172,63411,26934,28058
2011,22,057,44895,46697,60000,20798,29771
2011,22,063,66723,55817,68746,20853,31924
2011,22,071,178068,35041,43217,25277,25725
2011,22,073,72119,34421,45920,20300,24630
2011,22,079,56534,35047,43922,21127,22008
2011,22,097,33984,34337,44651,15532,25292
2011,22,103,113338,56536,72169,29799,34723
2011,22,105,59220,39391,46491,25058,24735
2011,22,109,52557,43963,51010,27633,26812
2011,23,001,57537,44689,53905,25405,27065
2011,23,003,33302,35148,48631,16838,22287
2011,23,005,159585,55985,73965,30853,30789
2011,23,011,66004,44259,58067,24571,27583
2011,23,019,78595,40669,52651,23014,23906
2011,23,031,110102,56777,71238,31932,28885
2011,24,001,33811,38502,54506,21579,21580
2011,24,003,308919,84138,94215,55985,43586
2011,24,005,440023,62407,74796,41683,37432
2011,24,009,50825,89393,109938,50529,43193
2011,24,013,91214,84117,98912,35769,41394
2011,24,015,56060,61686,75170,34562,35787
2011,24,017,82471,91733,104024,51693,51349
2011,24,021,134520,77791,92031,43213,40996
2011,24,025,133425,78123,88206,50565,42641
2011,24,027,168024,98953,116560,57381,53253
2011,24,031,562462,92909,112422,60524,46169
2011,24,033,504984,70715,81134,50621,37202
2011,24,037,56538,81657,86575,56419,39348
2011,24,043,75669,52653,64948,30789,31219
2011,24,045,50540,46990,51611,26003,23270
2011,24,510,314619,38721,47247,28777,30018
2011,25,001,111991,56699,72004,29227,30193
2011,25,003,67203,42969,61753,26129,25841
2011,25,005,297927,53409,68833,31193,31500
2011,25,009,404666,64887,81614,35329,37036
2011,25,011,41314,50361,62481,35141,27735
2011,25,013,238314,47897,60056,24781,30012
2011,25,015,89350,54179,75551,30247,23512
2011,25,017,864832,76978,96365,46845,40636
2011,25,021,376684,81889,105424,42229,45201
2011,25,023,269780,68253,85037,38097,36873
2011,25,025,415732,49276,55556,39740,30933
2011,25,027,432121,60493,76570,32253,35314
2011,26,005,54430,50508,56912,26462,27479
2011,26,017,52300,43361,55765,23545,27874
2011,26,021,76344,40831,52782,22387,22449
2011,26,025,62496,38666,50554,23089,22577
2011,26,037,39239,57289,66543,34764,31179
2011,26,045,54092,50822,60910,31812,29109
2011,26,049,189056,40843,51216,25864,24838
2011,26,055,45737,46330,57321,27087,22464
2011,26,065,142554,42047,59705,26446,20661
2011,26,073,36929,37319,48853,21996,11656
2011,26,075,73526,41686,54190,26710,25305
2011,26,077,132624,45502,59209,26214,22411
2011,26,081,324300,50712,61846,29314,27635
2011,26,087,42737,49178,59092,26214,25694
2011,26,091,48432,44509,55168,23382,22159
2011,26,093,96148,67441,76199,36431,32954
2011,26,099,431174,50891,63581,29560,29888
2011,26,103,32495,41130,56317,23856,22298
2011,26,111,39725,52591,63516,27659,28472
2011,26,115,75805,53744,61379,28594,30195
2011,26,121,77772,37626,47478,21163,24280
2011,26,125,644313,61888,80114,37375,35961
2011,26,139,138348,53553,65916,26370,25326
2011,26,145,93098,40434,51483,24451,21541
2011,26,147,78184,45676,56670,26127,25136
2011,26,155,33168,47775,55801,26764,26726
2011,26,159,35797,41379,48869,24940,25780
2011,26,161,187311,56612,84044,32488,26598
2011,26,163,823773,38479,49022,24247,25971
2011,27,003,190789,63614,75370,42149,35997
2011,27,019,52189,83348,98509,42074,42479
2011,27,037,232714,69902,85028,42027,37134
2011,27,053,673988,60817,80728,38914,35607
2011,27,109,83809,67618,84836,36021,35798
2011,27,123,279871,51702,70103,34398,30618
2011,27,137,103440,44447,61784,22476,23667
2011,27,139,76575,80864,90269,55344,41805
2011,27,141,48453,67198,75629,39721,35448
2011,27,145,85176,52334,67393,30335,26402
2011,27,163,133680,76491,88616,44534,38954
2011,27,171,68270,68242,77054,37225,38125
2011,28,033,84440,53802,60835,32327,32035
2011,28,035,38683,35046,43202,18048,18684
2011,28,047,98657,38645,50281,23728,24679
2011,28,049,117477,34926,45134,22030,23468
2011,28,059,66152,47800,53823,30778,30122
2011,28,067,29438,39709,47058,23813,26613
2011,28,075,36923,38573,48453,23565,21600
2011,28,081,42044,40669,52925,23475,24970
2011,28,089,48793,52898,70392,35190,34234
2011,28,121,72966,61423,69654,31522,34927
2011,29,019,93462,46596,66189,29387,24841
2011,29,021,47487,42624,53918,24647,22261
2011,29,031,39269,39977,55007,26049,24155
2011,29,037,52020,53936,65544,31037,31756
2011,29,043,39957,50876,53351,28750,25022
2011,29,047,126567,58830,72846,40633,33048
2011,29,051,37089,55888,64707,31976,34578
2011,29,071,51707,45951,58190,28353,28263
2011,29,077,145182,40124,53349,23775,22389
2011,29,095,349459,44347,55934,30173,28972
2011,29,097,58078,40308,49063,26609,25734
2011,29,099,116420,50491,58053,33628,30626
2011,29,165,52019,61863,73281,39853,38290
2011,29,183,203815,66374,78132,41259,36827
2011,29,187,26897,34260,46945,20360,21384
2011,29,189,530320,54830,71546,33758,31715
2011,29,510,167751,32570,43299,25185,26015
2011,30,013,41168,42623,54009,30052,24817
2011,30,029,48585,44207,55443,27120,23267
2011,30,031,52870,50302,68397,33515,24575
2011,30,063,64753,41931,58883,25222,21822
2011,30,111,80909,46975,57509,24778,23382
2011,31,055,291228,51694,68148,30912,30190
2011,31,109,167937,48642,64931,29417,25555
2011,31,153,90513,64043,76126,35565,32100
2011,32,003,1010457,48215,55766,32232,29038
2011,32,031,224345,50733,60712,32638,27996
2011,33,005,43228,54049,67528,30712,26893
2011,33,009,45298,50811,64636,26096,28279
2011,33,011,227565,66609,81881,34247,36114
2011,33,013,80935,66221,80086,34703,36219
2011,33,015,173483,75982,89115,43360,39944
2011,33,017,70385,55180,66696,32126,27746
2011,34,001,146328,50829,65444,28397,29589
