Year,StateCode,CountyCode,population,medianRealEstateTax,medianHouseholdCosts,totalHouses,medianHomeVal
2011,01,003,186717,557,933,54247,170300
2011,01,015,117797,395,605,30699,99100
2011,01,043,80536,311,677,23942,112000
2011,01,049,71375,340,571,21897,97100
2011,01,051,80162,399,860,22520,148900
2011,01,055,104303,441,628,29577,103600
2011,01,069,102369,418,656,25868,123600
2011,01,073,658931,873,877,163753,141100
2011,01,077,92781,510,628,28087,109400
2011,01,081,143468,759,821,34167,157400
2011,01,083,85369,481,682,24873,143300
2011,01,089,340111,742,854,91889,162000
2011,01,095,94166,492,636,25136,121400
2011,01,097,412577,641,796,106764,121700
2011,01,101,232032,472,821,53814,119700
2011,01,103,119953,479,649,33246,120400
2011,01,115,84398,446,760,26098,140300
2011,01,117,197936,932,1112,59718,189500
2011,01,121,81664,392,629,20989,96200
2011,01,125,197211,548,834,44276,151500
2011,01,127,66661,287,527,19573,81800
2011,02,020,295570,3789,1377,63309,284600
2011,02,090,99192,2702,1328,21497,205900
2011,02,170,91946,2566,1125,24987,218000
2011,04,001,72401,580,320,15212,92600
2011,04,003,133289,1045,746,33151,143200
2011,04,005,134511,1374,924,27522,202100
2011,04,013,3880244,1391,1045,866589,161500
2011,04,015,202351,862,707,54629,119200
2011,04,017,107398,747,563,23437,98700
2011,04,019,989569,1733,867,233230,165700
2011,04,021,382992,1296,960,91285,104300
2011,04,025,211888,1324,776,64233,167000
2011,04,027,200870,913,763,51009,114200
2011,05,007,227556,1073,842,54440,148200
2011,05,031,98315,685,672,22072,121000
2011,05,045,116342,817,790,27621,135700
2011,05,051,97124,687,650,26284,125300
2011,05,069,76246,556,586,18895,84900
2011,05,085,69341,715,776,17919,111900
2011,05,119,386299,1073,825,93975,146700
2011,05,125,109526,881,860,32216,136700
2011,05,131,127127,660,673,29071,110300
2011,05,143,207521,1005,746,44192,140800
2011,05,145,78167,513,617,20403,101600
2011,06,001,1529875,4225,1538,289222,480700
2011,06,007,220266,1698,916,48746,226600
2011,06,013,1066096,3748,1655,246590,391400
2011,06,017,180938,2766,1451,48985,337900
2011,06,019,942904,1683,985,155609,184300
2011,06,023,134761,1832,919,28459,304900
2011,06,025,177057,1301,880,27172,130800
2011,06,029,851710,1718,957,144094,155900
2011,06,031,153765,1454,1053,22822,169600
2011,06,033,64323,1485,942,16839,192200
2011,06,037,9889056,3221,1354,1482011,410600
2011,06,039,152925,1644,911,24738,169300
2011,06,041,255031,6008,1786,60453,730500
2011,06,045,87553,2028,982,20447,298900
2011,06,047,259898,1428,932,38880,146700
2011,06,053,421898,2738,1287,58668,332300
2011,06,055,138088,3367,1456,27183,395700
2011,06,057,98612,3104,1409,30219,340400
2011,06,059,3055745,3638,1683,581991,506300
2011,06,061,357138,3445,1522,94614,321700
2011,06,065,2239620,2529,1340,451415,222700
2011,06,067,1436105,2187,1191,286161,217000
2011,06,071,2065377,1957,1224,381133,211500
2011,06,073,3140069,3016,1462,565447,396500
2011,06,075,812826,4765,1597,123681,719800
2011,06,077,696214,2124,1175,124893,196800
2011,06,079,271969,3013,1299,56773,402200
2011,06,081,727209,4911,1837,150930,706300
2011,06,083,426878,3184,1432,71387,447700
2011,06,085,1809378,4971,1748,343742,627400
2011,06,087,264298,3607,1554,54319,532200
2011,06,089,177774,1613,927,45256,203700
2011,06,095,416471,2515,1442,85648,256400
2011,06,097,488116,3121,1423,107486,398900
2011,06,099,518522,1647,1073,97147,161900
2011,06,101,94919,1829,1111,19872,175900
2011,06,107,449253,1361,887,76347,152500
2011,06,111,831771,3495,1743,173534,433100
2011,06,113,202054,2820,1209,37802,290200
2011,06,115,72578,1695,940,13324,162600
2011,08,001,451443,1605,1151,99038,182400
2011,08,005,584948,1580,1187,140035,228100
2011,08,013,299378,2160,1305,77825,344600
2011,08,031,619968,1361,1010,130009,247800
2011,08,035,292167,2598,1781,80917,323300
2011,08,041,636963,1130,1098,148824,213800
2011,08,059,539884,1838,1196,151759,255700
2011,08,069,305525,1625,1123,78924,241500
2011,08,077,147083,1160,920,42723,202200
2011,08,101,160545,1001,803,40641,136500
2011,08,123,258638,1228,1055,60874,197400
2011,09,001,925899,6851,1733,224687,440700
2011,09,003,894705,4694,1203,225826,240500
2011,09,005,188789,4462,1385,58913,265500
2011,09,007,166043,5033,1434,47757,308400
2011,09,009,861113,5101,1287,207792,254200
2011,09,011,273502,3823,1232,74577,252600
2011,09,013,152507,4500,1345,39669,247600
2011,09,015,118151,3336,1123,31838,204200
2011,10,001,164834,872,1034,39697,200200
2011,10,003,541971,1522,1187,139484,244600
2011,10,005,200330,765,974,59379,241700
2011,11,001,617996,2431,1401,110625,422400
2011,12,001,249365,2000,892,48347,164100
2011,12,005,169856,1014,933,43511,156000
2011,12,009,543566,1573,903,157470,134700
2011,12,011,1780172,2261,1217,427804,168000
2011,12,015,160511,1720,756,53067,134200
2011,12,017,140031,916,642,48781,109000
2011,12,019,192370,1361,1051,51226,154700
2011,12,021,328134,1917,1020,91261,242700
2011,12,023,67485,922,630,15097,103800
2011,12,031,870709,1559,1005,205335,146000
2011,12,033,299114,1014,864,71452,121400
2011,12,035,97376,1638,1033,26159,160000
2011,12,053,173094,1245,815,57004,111800
2011,12,055,98630,921,567,31982,85400
2011,12,057,1267775,1773,1015,278872,151200
2011,12,061,138894,1409,778,43810,151600
2011,12,069,301019,1710,816,85971,138900
2011,12,071,631330,1566,915,169394,128300
2011,12,073,277971,1777,1013,58742,184900
2011,12,081,327142,1757,922,93958,155400
2011,12,083,332529,1252,755,100836,112400
2011,12,085,147495,2188,953,45481,205000
2011,12,086,2554766,2449,1184,459282,174700
2011,12,087,73873,2513,1165,14878,409500
2011,12,089,74195,1419,1050,22589,163400
2011,12,091,183482,1379,983,47160,185000
2011,12,095,1169107,1922,1095,236375,155500
2011,12,097,276163,1614,1044,56155,118500
2011,12,099,1335187,2500,1158,368016,183700
2011,12,101,466457,1231,820,140875,115400
2011,12,103,917398,1450,942,260768,143600
2011,12,105,609492,1198,827,151549,109700
2011,12,107,74041,896,593,21096,92300
2011,12,109,195823,2564,1192,57923,235900
2011,12,111,280379,1662,959,79128,110100
2011,12,113,154104,1267,1040,42001,159100
2011,12,115,382213,1772,909,126893,163800
2011,12,117,425071,1874,1236,100714,173400
2011,12,119,97756,1824,558,40390,182400
2011,12,127,494804,1477,858,137768,128600
2011,13,013,69912,1186,1024,17179,121400
2011,13,015,100421,970,842,21364,129200
2011,13,021,156433,1457,800,30720,131400
2011,13,031,72881,1091,802,12696,138400
2011,13,045,111159,1060,837,25855,115800
2011,13,051,271544,1435,974,58043,165600
2011,13,057,218286,1642,1209,59295,175200
2011,13,059,117344,1602,788,18143,157100
2011,13,063,261532,1076,928,48374,88800
2011,13,067,697553,1606,1162,168206,193300
2011,13,073,128112,1581,1114,36456,162800
2011,13,077,129629,1751,1075,32731,182800
