CountyCode,StateCode,Year,medianFamilyIncome,medianHomeVal,medianHouseIncome,medianHouseholdCosts,medianNonFamIncome,medianRealEstateTax,medianWorkerIncome,population,totalHouses,workers,meanIncome,medianAge,medianIncome,povertyPop,StateAndCounty
003,01,2011,66145,170300,50900,933,33795,557,30104,186717,54247,93840,74460,42,74460,8192,1
015,01,2011,49603,99100,39037,605,21414,395,23301,117797,30699,54845,44722,39.6,44722,10023,2
043,01,2011,53091,112000,40054,677,15370,311,27788,80536,23942,36309,31954,41.4,31954,4921,3
049,01,2011,40978,97100,36541,571,16159,340,24351,71375,21897,33281,27139,39.9,27139,3544,4
051,01,2011,64952,148900,57405,860,34993,399,30716,80162,22520,38421,28469,37.9,28469,5851,5
055,01,2011,45075,103600,33313,628,18277,441,24554,104303,29577,43441,40443,39.9,40443,8618,6
069,01,2011,50657,123600,40336,656,24819,418,25041,102369,25868,49037,39118,38.3,39118,7645,7
073,01,2011,56260,141100,41976,877,26384,873,27467,658931,163753,320232,255059,36.9,255059,51027,8
077,01,2011,53654,109400,40121,628,23340,510,23701,92781,28087,43388,39331,40.8,39331,7501,9
081,01,2011,57428,157400,42965,821,23178,759,22565,143468,34167,71546,56274,28.8,56274,15465,10
083,01,2011,52793,143300,46339,682,23980,481,26166,85369,24873,38115,32648,39.8,32648,5690,11
089,01,2011,70675,162000,54444,854,30604,742,29958,340111,91889,180800,133173,37.4,133173,17193,12
095,01,2011,46270,121400,39245,636,21663,492,26080,94166,25136,41776,33750,39.1,33750,8019,13
097,01,2011,51799,121700,42372,796,25153,641,27080,412577,106764,192134,157783,36.6,157783,33832,14
101,01,2011,53437,119700,44185,821,31175,472,25657,232032,53814,111690,86531,34.4,86531,21949,15
103,01,2011,52868,120400,43590,649,26284,479,24038,119953,33246,60681,45310,40,45310,9610,16
115,01,2011,52313,140300,47500,760,26320,446,31239,84398,26098,39694,33274,39.4,33274,8505,17
117,01,2011,80603,189500,65815,1112,40048,932,35821,197936,59718,107921,74648,37.1,74648,4313,18
121,01,2011,40404,96200,30367,629,15880,392,21058,81664,20989,34702,32044,40.7,32044,8282,19
125,01,2011,55532,151500,42056,834,23442,548,22830,197211,44276,91366,67669,31.7,67669,16769,20
127,01,2011,46330,81800,34343,527,19267,287,24856,66661,19573,27482,26204,42.2,26204,4764,21
020,02,2011,85483,284600,72813,1377,48294,3789,37007,295570,63309,170721,106651,32.9,106651,11014,22
090,02,2011,70387,205900,65920,1328,40021,2702,32695,99192,21497,55954,37016,30.7,37016,4749,23
170,02,2011,75441,218000,68672,1125,41206,2566,37175,91946,24987,42894,33328,35.9,33328,5919,24
001,04,2011,40867,92600,31123,320,14043,580,21615,72401,15212,25836,19881,31.8,19881,11802,25
003,04,2011,49917,143200,40903,746,26003,1045,20371,133289,33151,53510,47402,40.1,47402,12310,26
005,04,2011,55704,202100,45045,924,32012,1374,20357,134511,27522,71796,44826,31.2,44826,12862,27
013,04,2011,60753,161500,50770,1045,33572,1391,30523,3880244,866589,1924684,1407161,34.9,1407161,307566,28
015,04,2011,42656,119200,35983,707,22117,862,21006,202351,54629,81250,78977,48.2,78977,18149,29
017,04,2011,39861,98700,30937,563,22901,747,21225,107398,23437,40804,33305,35.1,33305,15598,30
019,04,2011,54120,165700,44112,867,27979,1733,25868,989569,233230,465773,379801,37.9,379801,90506,31
021,04,2011,49012,104300,44107,960,24844,1296,29427,382992,91285,145012,122782,36.1,122782,33414,32
025,04,2011,52643,167000,41719,776,25882,1324,19844,211888,64233,90202,91407,50.1,91407,13078,33
027,04,2011,41899,114200,38390,763,29044,913,21783,200870,51009,79015,71490,32.9,71490,17801,34
007,05,2011,60141,148200,52341,842,31736,1073,30945,227556,54440,108595,82695,35,82695,10267,35
031,05,2011,50225,121000,37390,672,22101,685,22364,98315,22072,47794,37957,31.9,37957,8875,36
045,05,2011,61112,135700,49886,790,27805,817,27897,116342,27621,59906,43249,31.4,43249,7609,37
051,05,2011,43467,125300,34251,650,23070,687,20625,97124,26284,44137,38087,44.1,38087,7690,38
069,05,2011,49987,84900,39176,586,18827,556,25897,76246,18895,34582,28905,37.3,28905,5901,39
085,05,2011,56748,111900,48161,776,32680,715,27585,69341,17919,34295,25583,35.5,25583,3587,40
119,05,2011,54902,146700,43461,825,25722,1073,28250,386299,93975,202907,152393,36.6,152393,30362,41
125,05,2011,65018,136700,53557,860,28796,881,30955,109526,32216,54332,42447,37.7,42447,3917,42
131,05,2011,48353,110300,35703,673,21006,660,23404,127127,29071,58646,47119,37.1,47119,9061,43
143,05,2011,55213,140800,37449,746,23937,1005,24390,207521,44192,107158,80228,31,80228,20621,44
145,05,2011,57254,101600,44626,617,20780,513,28702,78167,20403,35448,30359,36.7,30359,5526,45
001,06,2011,82476,480700,67558,1538,44820,4225,36991,1529875,289222,808803,545559,36.8,545559,94734,46
007,06,2011,51896,226600,39179,916,23852,1698,21606,220266,48746,100845,83634,37.5,83634,21592,47
013,06,2011,88294,391400,74353,1655,44370,3748,39308,1066096,246590,546240,376326,38.4,376326,49324,48
017,06,2011,79452,337900,61084,1451,32546,2766,33075,180938,48985,91662,68111,44.6,68111,7900,49
019,06,2011,46812,184300,42807,985,29921,1683,22399,942904,155609,429560,286255,30.9,286255,99848,50
023,06,2011,50077,304900,41187,919,24655,1832,22030,134761,28459,64649,51183,36.9,51183,12559,51
025,06,2011,41341,130800,37843,880,23385,1301,22052,177057,27172,71068,48790,31.8,48790,19537,52
029,06,2011,49703,155900,45224,957,27439,1718,23155,851710,144094,375780,254761,30.7,254761,84214,53
031,06,2011,51634,169600,50345,1053,26076,1454,24656,153765,22822,64623,40800,32.2,40800,13257,54
033,06,2011,44516,192200,35991,942,27875,1485,22534,64323,16839,30800,28885,45.6,28885,3871,55
037,06,2011,58251,410600,52280,1354,36842,3221,27422,9889056,1482011,5035930,3201795,35,3201795,754872,56
039,06,2011,49967,169300,46570,911,26054,1644,21378,152925,24738,54963,40786,33.4,40786,14512,57
041,06,2011,100085,730500,77168,1786,46956,6008,38792,255031,60453,134262,101723,44.7,101723,10976,58
045,06,2011,51876,298900,42431,982,26053,2028,22394,87553,20447,45454,32497,41.6,32497,7518,59
047,06,2011,43289,146700,40055,932,24868,1428,22056,259898,38880,113606,74833,29.8,74833,23967,60
053,06,2011,56777,332300,53179,1287,34920,2738,21897,421898,58668,198178,123757,32.8,123757,27596,61
055,06,2011,67567,395700,61460,1456,46980,3367,32197,138088,27183,71904,49933,39.8,49933,9667,62
057,06,2011,70686,340400,54080,1409,36764,3104,23884,98612,30219,48280,41171,48.1,41171,3733,63
059,06,2011,81663,506300,72293,1683,46425,3638,33134,3055745,581991,1600381,992855,36.4,992855,159794,64
061,06,2011,83992,321700,68959,1522,35345,3445,36978,357138,94614,174089,133290,40.4,133290,14384,65
065,06,2011,60598,222700,52883,1340,32613,2529,27411,2239620,451415,1027241,684794,33.8,684794,161984,66
067,06,2011,60166,217000,52314,1191,36168,2187,30884,1436105,286161,714621,510517,35,510517,107586,67
071,06,2011,55903,211500,51247,1224,29901,1957,27632,2065377,381133,954564,609702,31.8,609702,170784,68
073,06,2011,69924,396500,59477,1462,39517,3016,31574,3140069,565447,1620638,1061056,34.8,1061056,235131,69
075,06,2011,83540,719800,69894,1597,58528,4765,41192,812826,123681,487173,342706,38.4,342706,54641,70
077,06,2011,55993,196800,50853,1175,31775,2124,26210,696214,124893,322972,213749,32.6,213749,47460,71
079,06,2011,74032,402200,54195,1299,31315,3013,24441,271969,56773,132227,101179,40.3,101179,23484,72
081,06,2011,99043,706300,81657,1837,52594,4911,41429,727209,150930,400617,256526,39.4,256526,25267,73
083,06,2011,69946,447700,60505,1432,35568,3184,24704,426878,71387,223188,140889,33,140889,26239,74
085,06,2011,99383,627400,84895,1748,52003,4971,41905,1809378,343742,955006,606459,36.4,606459,88999,75
087,06,2011,74928,532200,62513,1554,37094,3607,26961,264298,54319,140384,94775,36.8,94775,19134,76
089,06,2011,49477,203700,42062,927,20867,1613,25156,177774,45256,78565,69102,41.2,69102,13581,77
095,06,2011,73755,256400,63795,1442,38147,2515,33373,416471,85648,212685,139992,37.1,139992,25560,78
097,06,2011,73946,398900,61020,1423,39225,3121,31772,488116,107486,259339,180703,40.2,180703,22439,79
099,06,2011,50684,161900,44076,1073,26135,1647,24800,518522,97147,243730,167860,32.9,167860,49625,80
101,06,2011,50832,175900,49533,1111,34874,1829,23910,94919,19872,44142,31673,34.7,31673,6867,81
107,06,2011,43356,152500,41167,887,29113,1361,21780,449253,76347,199986,131890,29.8,131890,46493,82
111,06,2011,85235,433100,74623,1743,44691,3495,30280,831771,173534,441537,265492,36.5,265492,38994,83
113,06,2011,71085,290200,49594,1209,27338,2820,25059,202054,37802,101385,70101,30.3,70101,19519,84
115,06,2011,46647,162600,43961,940,24590,1695,23339,72578,13324,31774,23745,32.3,23745,5286,85
001,08,2011,63020,182400,52325,1151,32918,1605,30824,451443,99038,240515,151973,32.3,151973,27806,86
005,08,2011,69039,228100,56722,1187,37345,1580,32049,584948,140035,327539,224082,35.9,224082,29685,87
013,08,2011,93017,344600,68637,1305,37293,2160,30006,299378,77825,172016,118559,36.1,118559,17921,88
031,08,2011,63290,247800,47371,1010,38168,1361,31789,619968,130009,353198,266624,33.6,266624,46754,89
035,08,2011,105465,323300,93573,1781,62957,2598,47449,292167,80917,164856,104243,37.4,104243,5227,90
041,08,2011,66828,213800,54797,1098,32235,1130,30030,636963,148824,337962,237729,33.8,237729,41706,91
059,08,2011,80152,255700,64292,1196,39592,1838,36699,539884,151759,305255,217829,40.7,217829,20991,92
069,08,2011,70682,241500,55219,1123,33952,1625,26477,305525,78924,172063,121911,35.7,121911,24942,93
077,08,2011,59447,202200,47664,920,29879,1160,26968,147083,42723,74762,59770,37.6,59770,8992,94
101,08,2011,53277,136500,40965,803,23885,1001,24870,160545,40641,76404,62181,38.9,62181,12178,95
123,08,2011,59610,197400,51059,1055,29197,1228,31375,258638,60874,127931,90453,33.6,90453,21495,96
001,09,2011,102292,440700,77289,1733,42636,6851,40108,925899,224687,500760,331530,39.6,331530,42982,97
