year,StateCode,CountyCode,meanIncome,medianIncome,povertyPop,medianAge
2011,29,189,402341,402341,55880,40
2011,29,510,134193,134193,43381,34.1
2011,30,013,32187,32187,4820,38.2
2011,30,029,37597,37597,5219,42.4
2011,30,031,37196,37196,4224,33.3
2011,30,063,45680,45680,5918,34.1
2011,30,111,59276,59276,8285,38.5
2011,31,055,201124,201124,33792,33.7
2011,31,109,114736,114736,19319,32.8
2011,31,153,59582,59582,5863,33.1
2011,32,003,696834,696834,147938,35.8
2011,32,031,160736,160736,26746,37.4
2011,33,005,30565,30565,3568,41.6
2011,33,009,33906,33906,4966,40.9
2011,33,011,153186,153186,14171,39.7
2011,33,013,57535,57535,5602,41.8
2011,33,015,117085,117085,9568,42.6
2011,33,017,44337,44337,7952,37
2011,34,001,99762,99762,16991,40.1
2011,34,003,329544,329544,27071,41.3
2011,34,005,164760,164760,10629,40.6
2011,34,007,185691,185691,27787,38.2
2011,34,009,41082,41082,4612,48.2
2011,34,011,49716,49716,10315,37
2011,34,013,273399,273399,58509,36.6
2011,34,015,103725,103725,9927,38.8
2011,34,017,243850,243850,50747,34.3
2011,34,019,46741,46741,2512,43.6
2011,34,021,130756,130756,20198,38.2
2011,34,023,278920,278920,31721,37.5
2011,34,025,231198,231198,19714,41.7
2011,34,027,182745,182745,9637,41.7
2011,34,029,222079,222079,29868,42.8
2011,34,031,163192,163192,37985,36.4
2011,34,033,24656,24656,3559,41.9
2011,34,035,114323,114323,7252,40.4
2011,34,037,54746,54746,3718,42.3
2011,34,039,184598,184598,27637,38
2011,34,041,42146,42146,3179,41.5
2011,35,001,264803,264803,66311,36
2011,35,005,23447,23447,3589,33.1
2011,35,013,75078,75078,23488,32.5
2011,35,025,20824,20824,7477,32.5
2011,35,031,16949,16949,11744,28.9
2011,35,035,25312,25312,3787,36.1
2011,35,043,47482,47482,11442,38.3
2011,35,045,42224,42224,10454,33.5
2011,35,049,60935,60935,9687,43.3
2011,35,061,27481,27481,6611,37.6
2011,36,001,122551,122551,17197,38.5
2011,36,005,467138,467138,183141,32.8
2011,36,007,79727,79727,19069,40.7
2011,36,009,31938,31938,5348,41
2011,36,011,31533,31533,4705,42.6
2011,36,013,56033,56033,12560,41.2
2011,36,015,35644,35644,4423,41.2
2011,36,019,32323,32323,4852,39.5
2011,36,027,107263,107263,14387,40.5
2011,36,029,379687,379687,68778,40.3
2011,36,045,46322,46322,10202,32.6
2011,36,047,901062,901062,259507,34.2
2011,36,051,24342,24342,4878,40.1
2011,36,053,26805,26805,2594,40.9
2011,36,055,296558,296558,57655,38.4
2011,36,059,442039,442039,43601,41.2
2011,36,061,728520,728520,128562,36.5
2011,36,063,87848,87848,11255,41.9
2011,36,065,91133,91133,16917,40.9
2011,36,067,181113,181113,32852,39.3
2011,36,069,45029,45029,3881,42.6
2011,36,071,125643,125643,25931,37.1
2011,36,075,44297,44297,12351,38.5
2011,36,079,35352,35352,3325,41.5
2011,36,081,764825,764825,143318,37.4
2011,36,083,62712,62712,8049,40
2011,36,085,161785,161785,29742,38.6
2011,36,087,98214,98214,17651,36.9
2011,36,089,40937,40937,8434,38.2
2011,36,091,90230,90230,7308,41.4
2011,36,093,57691,57691,9066,40.1
2011,36,101,41843,41843,6486,41.8
2011,36,103,500776,500776,41368,40
2011,36,105,27431,27431,5027,42.4
2011,36,109,39145,39145,12578,30.2
2011,36,111,69127,69127,12748,42
2011,36,113,27884,27884,3856,44.2
2011,36,117,36428,36428,3981,42.4
2011,36,119,343481,343481,35208,40.1
2011,37,001,60824,60824,13735,38.6
2011,37,019,46277,46277,9964,47.9
2011,37,021,101507,101507,17429,40.6
2011,37,023,33685,33685,8116,42.2
2011,37,025,65324,65324,12225,36.4
2011,37,027,32122,32122,9461,41.6
2011,37,031,28071,28071,2808,45.3
2011,37,035,56378,56378,9851,39.8
2011,37,045,36513,36513,9941,41.5
2011,37,049,38592,38592,6811,36.3
2011,37,051,119402,119402,27313,30.7
2011,37,057,65227,65227,10746,41.2
2011,37,063,110908,110908,24242,33.9
2011,37,067,138511,138511,27318,37.1
2011,37,071,79593,79593,15182,39.2
2011,37,081,197636,197636,39396,36.6
2011,37,085,41582,41582,9702,33.9
2011,37,089,43481,43481,4643,45.2
2011,37,097,59952,59952,11190,40
2011,37,101,59933,59933,10411,35.7
2011,37,109,28730,28730,4360,40.1
2011,37,119,362341,362341,63797,34.2
2011,37,125,35673,35673,7108,44
2011,37,127,36805,36805,3786,40.3
2011,37,129,87323,87323,17956,37.1
2011,37,133,59806,59806,12168,25.8
2011,37,135,51108,51108,12896,32.9
2011,37,147,63322,63322,22775,31.2
2011,37,151,55291,55291,6284,40
2011,37,155,44026,44026,17595,34.7
2011,37,157,38184,38184,5868,43.4
2011,37,159,52767,52767,12259,39.4
2011,37,161,26944,26944,5498,41.1
2011,37,171,30856,30856,5398,41.5
2011,37,179,65961,65961,7092,36.4
2011,37,183,342995,342995,52798,34.8
2011,37,191,48584,48584,12629,36.7
2011,37,193,27853,27853,7383,42.5
2011,37,195,30750,30750,8983,39.3
2011,45,077,42258,42258,12222,34.7
2011,45,079,141993,141993,29225,32.7
2011,45,083,105420,105420,19972,38.1
2011,45,085,41041,41041,6105,35.9
2011,45,091,88624,88624,16176,37.1
2011,46,099,67163,67163,7807,34.8
2011,46,103,39684,39684,5067,36.8
2011,47,001,31256,31256,4510,43.4
2011,47,009,48905,48905,6751,42.1
2011,47,011,36744,36744,8177,38
2011,47,037,254655,254655,54679,33.9
2011,47,059,28914,28914,7640,42.4
2011,47,065,133444,133444,30170,39.4
2011,47,093,180706,180706,31677,37.3
2011,47,113,34199,34199,11485,36.9
2011,47,119,31325,31325,5182,38.3
2011,47,125,64000,64000,15062,30.3
2011,47,141,29055,29055,9977,36.9
2011,47,147,24771,24771,7306,37.4
2011,47,149,94768,94768,11923,33
2011,47,155,35873,35873,7668,41
2011,47,157,342041,342041,88441,34.6
2011,47,163,67075,67075,10170,44.1
2011,47,165,61478,61478,5188,38.9
2011,47,179,53237,53237,10689,40.2
2011,47,187,66274,66274,4547,38.7
2011,47,189,43566,43566,3824,40.1
2011,48,005,30706,30706,7761,36.8
2011,48,021,27748,27748,5856,41.8
2011,48,027,101634,101634,22574,30.1
2011,48,029,608722,608722,126468,32.8
2011,48,037,32028,32028,5140,36.3
2011,48,039,108627,108627,14539,35.4
2011,48,041,68707,68707,29978,24.3
2011,48,061,118782,118782,58961,30.6
2011,48,085,290609,290609,29513,35.3
2011,48,091,41647,41647,1439,42.8
2011,48,099,17817,17817,3082,29.6
2011,48,113,852266,852266,188090,32.5
2011,48,121,241661,241661,29118,33.1
